Histone type,Histone variant,HGNC symbol,NCBI gene ID,Ensembl gene ID,Transcript stable ID,RefSeq mRNA ID,RefSeq peptide ID,Transcript type
H2B,canonical H2B(?),H2BC21,8349,ENSG00000184678,ENST00000369155,NM_003528,NP_003519,protein_coding
H2B,H2B.S(?),H2BS1,54145,ENSG00000234289,ENST00000599962,NM_017445,NP_059141,protein_coding
H2B,canonical H2B(?),H2BU1,128312,ENSG00000196890,ENST00000620438,NM_175055,NP_778225,protein_coding
H2B,H2B.W,H2BW1,158983,ENSG00000123569,ENST00000217926,NM_001002916,NP_001002916,protein_coding
H2B,H2B.W,H2BW1,158983,ENSG00000123569,ENST00000611083,,,protein_coding
H2B,?,H2BW2,286436,ENSG00000101812,ENST00000355016,NM_001164416,NP_001157888,protein_coding
H2B,?,H2BW2,286436,ENSG00000101812,ENST00000417637,,,protein_coding
H2B,?,H2BW2,286436,ENSG00000101812,ENST00000598335,,,protein_coding
H2B,?,H2BE1,114483833,ENSG00000285480,ENST00000644661,NM_001369125,NP_001356054,protein_coding
H3,canonical H3.1,H3C1,8350,ENSG00000275714,ENST00000613854,NM_003529,NP_003520,protein_coding
H3,canonical H3.1,H3C2,8358,ENSG00000286522,ENST00000621411,NM_003537,NP_003528,protein_coding
H3,canonical H3.1,H3C3,8352,ENSG00000287080,ENST00000612966,NM_003531,NP_003522,protein_coding
H3,canonical H3.1,H3C4,8351,ENSG00000197409,ENST00000356476,NM_003530,NP_003521,protein_coding
H3,canonical H3.1,H3C6,8353,ENSG00000274750,ENST00000634733,,,protein_coding
H3,canonical H3.1,H3C6,8353,ENSG00000274750,ENST00000614911,NM_003532,NP_003523,protein_coding
H3,canonical H3.1,H3C7,8968,ENSG00000277775,ENST00000618052,NM_021018,NP_066298,protein_coding
H3,canonical H3.1,H3C8,8355,ENSG00000273983,ENST00000614378,NM_003534,NP_003525,protein_coding
H3,canonical H3.1,H3C10,8357,ENSG00000278828,ENST00000369163,NM_003536,NP_003527,protein_coding
H3,canonical H3.1,H3C11,8354,ENSG00000275379,ENST00000616365,NM_003533,NP_003524,protein_coding
H3,canonical H3.1,H3C12,8356,ENSG00000197153,ENST00000359303,NM_003535,NP_003526,protein_coding
H3,canonical H3.1,H3C13,653604,ENSG00000183598,ENST00000331491,NM_001123375,NP_001116847,protein_coding
H3,canonical H3.2,H3C14,126961,ENSG00000203811,ENST00000369158,NM_021059,NP_066403,protein_coding
H3,canonical H3.1,H3C15,333932,ENSG00000203852,ENST00000403683,NM_001005464,NP_001005464,protein_coding
H3,H3.Y.1,H3Y1,391769,ENSG00000269466,ENST00000598383,NM_001355258,NP_001342187,protein_coding
H3,H3.Y.2,H3Y2,340096,ENSG00000268799,ENST00000600799,NM_001371919,NP_001358848,protein_coding
H3,canonical H3(?),H3-2,440686,ENSG00000273213,ENST00000609879,NM_001355409,NP_001342338,protein_coding
H3,canonical H3(?),H3-2,440686,ENSG00000273213,ENST00000392948,,,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000366816,,,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000366814,,,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000366815,NM_002107,NP_002098,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000655399,,,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000667897,,,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000666609,,,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000661429,,,protein_coding
H3,H3.3,H3-3A,3020,ENSG00000163041,ENST00000366813,,,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000254810,NM_005324,NP_005315,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000592643,,,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000591890,,,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000587560,,,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000589599,,,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000586607,,,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000586270,,,protein_coding
H3,H3.3,H3-3B,3021,ENSG00000132475,ENST00000587171,,,protein_coding
H3,TS H3.4,H3-4,8290,ENSG00000168148,ENST00000366696,NM_003493,NP_003484,protein_coding
H3,H3.5,H3-5,440093,ENSG00000188375,ENST00000340398,NM_001013699,NP_001013721,protein_coding
H3,cenH3,CENPA,1058,ENSG00000115163,ENST00000335756,NM_001809,NP_001800,protein_coding
H3,cenH3,CENPA,1058,ENSG00000115163,ENST00000233505,NM_001042426,NP_001035891,protein_coding
H4,canonical H4,H4C1,8359,ENSG00000278637,ENST00000617569,NM_003538,NP_003529,protein_coding
H4,canonical H4,H4C2,8366,ENSG00000278705,ENST00000377745,NM_003544,NP_003535,protein_coding
H4,canonical H4,H4C3,8364,ENSG00000197061,ENST00000377803,NM_003542,NP_003533,protein_coding
H4,canonical H4,H4C4,8360,ENSG00000277157,ENST00000614247,NM_003539,NP_003530,protein_coding
H4,canonical H4,H4C5,8367,ENSG00000276966,ENST00000615164,NM_003545,NP_003536,protein_coding
H4,canonical H4,H4C6,8361,ENSG00000274618,ENST00000244537,NM_003540,NP_003531,protein_coding
H4,canonical H4,H4C7,8369,ENSG00000275663,ENST00000611444,NM_003547,NP_003538,protein_coding
H4,canonical H4,H4C8,8365,ENSG00000158406,ENST00000377727,NM_003543,NP_003534,protein_coding
H4,canonical H4,H4C8,8365,ENSG00000158406,ENST00000635491,,,protein_coding
H4,canonical H4,H4C9,8294,ENSG00000276180,ENST00000615353,NM_003495,NP_003486,protein_coding
H4,canonical H4,H4C11,8363,ENSG00000197238,ENST00000355057,NM_021968,NP_068803,protein_coding
H4,canonical H4,H4C12,8362,ENSG00000273542,ENST00000611927,NM_003541,NP_003532,protein_coding
H4,canonical H4,H4C13,8368,ENSG00000275126,ENST00000618305,NM_003546,NP_003537,protein_coding
H4,canonical H4,H4C14,8370,ENSG00000270882,ENST00000578186,NM_003548,NP_003539,protein_coding
H4,canonical H4,H4C15,554313,ENSG00000270276,ENST00000579512,NM_001034077,NP_001029249,protein_coding
H4,canonical H4,H4-16,121504,ENSG00000197837,ENST00000539745,NM_175054,NP_778224,protein_coding
